Final layout Boroowa 2019 field trial - TOS2,,,,,,,,,,
ID,ENTRY,ROW,RANGE,REP,Box,Order,,field packet stem id,Tanya's Mistake replacement,
988,1,42,2,1,2,62,3,ST50PKT0YWNG,,
988,1,43,5,2,3,65,4,ST50PKT0YWNH,,
989,2,14,1,1,2,19,3,ST50PKT0YYRX,,
989,2,15,4,2,3,22,4,ST50PKT0YYRY,,
991,3,64,5,2,4,95,4,ST50PKT0YWNT,,
991,3,65,2,1,1,98,3,ST50PKT0YWNS,,
6/06/3737,4,17,2,1,1,26,3,ST50PKT0YWP3,,
6/06/3737,4,43,6,2,3,66,4,ST50PKT0YWP4,,
"""MOANA, MOANA RAPE""",117,24,3,1,4,33,3,ST50PKT0YXPD,,
"""MOANA, MOANA RAPE""",117,56,6,2,4,84,4,ST50PKT0YXPF,,
"""POH 285, Bolko""",137,64,4,2,4,94,4,ST50PKT0YY4Y,,
"""POH 285, Bolko""",137,68,3,1,4,99,3,ST50PKT0YY4X,,
ABUKUMA NATANE,5,3,1,1,3,1,3,ST50PKT0YWPF,,
ABUKUMA NATANE,5,4,5,2,4,5,4,ST50PKT0YWPG,,
AG-Castle,6,4,3,1,4,3,3,ST50PKT0YWPR,,
AG-Castle,6,53,5,2,1,83,4,ST50PKT0YWPS,,
Ag-Comet,7,22,5,2,2,35,4,ST50PKT0YWQ3,,
Ag-Comet,7,51,3,1,3,75,3,ST50PKT0YWQ2,,
Ag-Drover,8,26,6,2,2,42,4,ST50PKT0YWQF,,
Ag-Drover,8,49,1,1,1,73,3,ST50PKT0YWQD,,
Ag-Emblem,9,21,1,1,1,31,3,ST50PKT0YWQQ,,
Ag-Emblem,9,65,5,2,1,101,4,ST50PKT0YWQR,,
Ag-Muster,10,23,4,2,3,34,4,ST50PKT0YWR2,,
Ag-Muster,10,65,1,1,1,97,3,ST50PKT0YWR1,,
Ag-Outback,11,16,2,1,4,20,3,ST50PKT0YWRC,,
Ag-Outback,11,17,6,2,1,30,4,ST50PKT0YWRD,,
Ag-Saphire,12,6,4,2,2,10,4,ST50PKT0YWRQ,,
Ag-Saphire,12,36,1,1,4,49,3,ST50PKT0YWRP,,
ALTEX,13,15,3,1,3,21,3,ST50PKT0YYS7,,
ALTEX,13,16,6,2,4,24,4,ST50PKT0YYS8,,
Apex,14,18,2,1,2,26,3,ST50PKT0YWS0,,
Apex,14,51,6,2,3,78,4,ST50PKT0YWS1,,
ARGENTINA,15,66,6,2,2,102,4,ST50PKT0YWSC,,
ARGENTINA,15,67,1,1,3,97,3,ST50PKT0YWSB,,
ASAHI,16,29,2,1,1,44,3,ST50PKT0YYSK,,
ASAHI,16,56,4,2,4,82,4,ST50PKT0YYSL,,
ATR-Beacon,17,15,6,2,3,24,4,ST50PKT0YWSP,,
ATR-Beacon,17,41,1,1,1,61,3,ST50PKT0YWSN,,
ATR-Eyre,18,59,4,2,3,88,4,ST50PKT0YWT0,,
ATR-Eyre,18,60,1,1,4,85,3,ST50PKT0YWSZ,,
ATR-Hyden,19,32,4,2,4,46,4,ST50PKT0YWTB,,
ATR-Hyden,19,61,3,1,1,93,3,ST50PKT0YWT9,,
ATR-Spectrum,20,8,1,1,4,7,3,ST50PKT0YWTM,,
ATR-Spectrum,20,64,6,2,4,96,4,ST50PKT0YWTN,,
ATR-Summitt,21,29,6,2,1,48,4,ST50PKT0YWTZ,,
ATR-Summitt,21,63,3,1,3,93,3,ST50PKT0YWTY,,
Azuma (light Yellow),22,4,6,2,4,6,4,ST50PKT0YWV9,,
Azuma (light Yellow),22,48,2,1,4,68,3,ST50PKT0YWV8,,
Baltia,23,34,2,1,2,50,3,ST50PKT0YWVL,,
Baltia,23,47,5,2,3,71,4,ST50PKT0YWVM,,
BAROSSA,24,35,3,1,3,51,3,ST50PKT0YWVX,,
BAROSSA,24,49,4,2,1,76,4,ST50PKT0YWVY,,
BC5 TOWER,25,58,1,1,2,85,3,ST50PKT0YWW7,,
BC5 TOWER,25,60,6,2,4,90,4,ST50PKT0YWW8,,
Beacon,26,10,3,1,2,15,3,ST50PKT0YWWK,,
Beacon,26,46,4,2,2,70,4,ST50PKT0YWWL,,
BIENVENU DH4,27,32,3,1,4,45,3,ST50PKT0YWWW,,
BIENVENU DH4,27,33,6,2,1,54,4,ST50PKT0YWWX,,
BLN 156,28,10,2,1,2,14,3,ST50PKT0YYVT,,
BLN 156,28,11,4,2,3,16,4,ST50PKT0YYVV,,
BLN 198,29,19,6,2,3,30,4,ST50PKT0YWX7,,
BLN 198,29,52,2,1,4,74,3,ST50PKT0YWX6,,
BLN 199,30,8,2,1,4,8,3,ST50PKT0YYW4,,
BLN 199,30,59,6,2,3,90,4,ST50PKT0YYW5,,
BLN 270,31,20,1,1,4,25,3,ST50PKT0YYWG,,
BLN 270,31,43,4,2,3,64,4,ST50PKT0YYWH,,
BLN 273,32,45,3,1,1,69,3,ST50PKT0YYWS,,
BLN 273,32,46,6,2,2,72,4,ST50PKT0YYWT,,
BLN 279,33,33,1,1,1,49,3,ST50PKT0YYX3,,
BLN 279,33,57,5,2,1,89,4,ST50PKT0YYX4,,
BLN 287,34,8,4,2,4,10,4,ST50PKT0YYXG,,
BLN 287,34,54,3,1,2,81,3,ST50PKT0YYXF,,
BLN 329,35,16,1,1,4,19,3,ST50PKT0YYXR,,
BLN 329,35,40,5,2,4,59,4,ST50PKT0YYXS,,
BLN 331,36,12,6,2,4,18,4,ST50PKT0YWXK,,
BLN 331,36,13,3,1,1,21,3,ST50PKT0YWXJ,,
BLN 5,37,25,5,2,1,41,4,ST50PKT0YWXW,,
BLN 5,37,52,1,1,4,73,3,ST50PKT0YWXV,,
BRAUNER SCHNITTKOHL,38,33,3,1,1,51,3,ST50PKT0YWY5,,
BRAUNER SCHNITTKOHL,38,36,5,2,4,53,4,ST50PKT0YWY6,,
BravoTT,39,1,6,2,1,6,4,ST50PKT0YWYJ,,
